depth(m),cone penetration resistance (qc (MPa)),sleeve friction(kPa),total cone resistance (tc(Mpa)),friction ratio (%),bulk density (kN/m³),effective vertical stress(kPa),pore water pressure (kPa),total vertical stress (kPa),normalised cone resistance(-),normalised cone resistance corrected for overburden (-),normalised friction ratio (%),void ratio,Soil Class
0.4,0.66,15.4,0.66,2.33,19,7.6,3.92,3.68,177.39,12.87,2.36,0.94,Class 4: Clayey silt to silty clay
0.41,0.7,16.6,0.7,2.38,19,7.79,4.02,3.77,182.86,13.6,2.41,0.93,Class 4: Clayey silt to silty clay
0.42,11.9,34,11.83,0.31,19,7.98,4.12,3.86,3062.43,322.42,0.31,0.31,Class 1: Gravelly sand to dense sand
0.42,0.73,19.2,0.73,2.62,19,7.98,4.12,3.86,188.07,14.33,2.64,0.93,Class 4: Clayey silt to silty clay
0.43,0.85,19.2,0.85,2.26,19,8.17,4.22,3.95,212.85,16.6,2.28,0.9,Class 4: Clayey silt to silty clay
0.44,10.7,24,11.08,0.28,19,8.36,4.32,4.04,2737.24,293.93,0.28,0.31,Class 1: Gravelly sand to dense sand
0.46,9.55,34,10.13,0.45,19,8.74,4.51,4.23,2393.02,307.84,0.45,0.35,Class 2: Sand to silty sand
0.46,4.51,63.1,4.51,1.4,19,8.74,0,8.74,514.83,88.82,1.4,0.63,Class 3: Silty sand to sandy silt
0.47,4.46,62,4.46,1.39,19,8.93,0,8.93,498.65,87.89,1.39,0.63,Class 3: Silty sand to sandy silt
0.47,1.01,18.6,1.01,1.84,19,8.93,4.61,4.32,232.02,19.78,1.86,0.86,Class 4: Clayey silt to silty clay
0.48,9,78,9.24,0.68,19,9.12,4.71,4.41,2092.6,314.22,0.68,0.4,Class 2: Sand to silty sand
0.48,4.15,60.8,4.15,1.47,19,9.12,0,9.12,453.81,81.69,1.47,0.65,Class 3: Silty sand to sandy silt
0.49,3.75,61.5,3.75,1.64,19,9.31,0,9.31,402.04,73.88,1.64,0.67,Class 3: Silty sand to sandy silt
0.5,8,76,8.06,1.03,19,9.5,4.91,4.6,1750.92,317.16,1.03,0.45,Class 2: Sand to silty sand
0.5,2.95,62.2,2.95,2.11,19,9.5,0,9.5,309.53,58.04,2.12,0.73,Class 3: Silty sand to sandy silt
0.51,2.55,55.8,2.55,2.19,19,9.69,0,9.69,261.83,50.08,2.2,0.75,Class 3: Silty sand to sandy silt
0.51,0.26,32.6,0.26,12.63,19,9.69,5,4.69,53.02,4.91,13.12,1,Class 6: Organic soil / peat
0.52,5.95,94,6.9,1.23,19,9.88,5.1,4.78,1442.51,294.25,1.23,0.48,Class 2: Sand to silty sand
0.52,2.55,49.4,2.55,1.94,19,9.88,0,9.88,256.78,50.08,1.95,0.74,Class 3: Silty sand to sandy silt
0.52,0.25,31.4,0.25,12.64,19,9.88,5.1,4.78,49.93,4.71,13.16,1,Class 6: Organic soil / peat
0.53,2.57,44,2.57,1.71,19,10.07,0,10.07,254.04,50.5,1.72,0.73,Class 3: Silty sand to sandy silt
0.53,0.25,30.1,0.25,11.86,19,10.07,5.2,4.87,50.02,4.81,12.35,1,Class 6: Organic soil / peat
0.54,5.5,85,5.82,1.56,19,10.26,5.3,4.96,1170.37,274.04,1.57,0.52,Class 2: Sand to silty sand
0.54,2.59,39.3,2.59,1.52,19,10.26,0,10.26,251.41,50.91,1.52,0.71,Class 3: Silty sand to sandy silt
0.55,2.65,38,2.65,1.43,19,10.45,0,10.45,252.75,52.13,1.44,0.7,Class 3: Silty sand to sandy silt
0.56,4.7,94,5.02,1.99,19,10.64,5.49,5.15,972.72,259.48,1.99,0.56,Class 2: Sand to silty sand
0.56,2.6,36.6,2.6,1.41,19,10.64,0,10.64,243.06,51.05,1.42,0.71,Class 3: Silty sand to sandy silt
0.57,2.31,35.4,2.31,1.53,19,10.83,0,10.83,212.26,45.37,1.54,0.73,Class 3: Silty sand to sandy silt
0.57,0.73,22.5,0.73,3.08,19,10.83,5.59,5.24,137.39,14.21,3.13,0.95,Class 4: Clayey silt to silty clay
0.58,3.5,120,4.22,2.62,19,11.02,5.69,5.33,788.71,244.92,2.62,0.6,Class 2: Sand to silty sand
0.58,2.28,35.3,2.28,1.55,19,11.02,0,11.02,206.17,44.85,1.55,0.73,Class 3: Silty sand to sandy silt
0.59,2.29,38.1,2.29,1.67,19,11.21,0,11.21,202.92,44.9,1.67,0.74,Class 3: Silty sand to sandy silt
0.6,3.05,117,3.51,2.92,19,11.4,5.89,5.51,635.1,216.08,2.93,0.63,Class 2: Sand to silty sand
0.6,2.19,40.9,2.19,1.87,19,11.4,0,11.4,191.31,43.05,1.88,0.76,Class 3: Silty sand to sandy silt
0.61,2.11,43.9,2.11,2.08,19,11.59,0,11.59,180.75,41.35,2.1,0.77,Class 3: Silty sand to sandy silt
0.62,15.4,89,15.18,0.46,19,11.78,6.08,5.7,2661.83,383.4,0.46,0.33,Class 1: Gravelly sand to dense sand
0.62,2.55,71,3.16,2.8,19,11.78,6.08,5.7,552.83,193.3,2.81,0.63,Class 3: Silty sand to sandy silt
0.62,2.05,44.1,2.05,2.15,19,11.78,0,11.78,173.17,40.27,2.16,0.78,Class 3: Silty sand to sandy silt
0.62,0.6,45,0.64,7.03,19,11.78,6.08,5.7,110.22,72.53,7.16,0.85,Class 4: Clayey silt to silty clay
0.63,1.99,46.8,1.99,2.35,19,11.97,0,11.97,165.22,39.04,2.37,0.79,Class 3: Silty sand to sandy silt
0.63,0.58,44.8,0.58,7.63,19,11.97,6.18,5.79,98.11,68.03,7.79,0.87,Class 4: Clayey silt to silty clay
0.64,2.4,78,2.91,2.61,19,12.16,6.28,5.88,492.7,174.68,2.62,0.64,Class 3: Silty sand to sandy silt
0.64,1.85,66,2.41,2.77,19,12.16,6.28,5.88,407.68,153.37,2.78,0.66,Class 3: Silty sand to sandy silt
0.64,1.88,49.1,1.88,2.61,19,12.16,0,12.16,153.68,36.89,2.63,0.81,Class 3: Silty sand to sandy silt
0.64,0.55,43,0.55,7.49,19,12.16,6.28,5.88,91.87,64.44,7.66,0.88,Class 4: Clayey silt to silty clay
