depth(m),cone penetration resistance (qc (MPa)),sleeve friction(kPa),total cone resistance (tc(Mpa)),friction ratio (%),bulk density (kN/m³),effective vertical stress(kPa),pore water pressure (kPa),total vertical stress (kPa),normalised cone resistance(-),normalised cone resistance corrected for overburden (-),normalised friction ratio (%),void ratio,Soil Class
6.88,7.3,8,12.42,0.07,19,130.72,67.49,63.23,194.42,145.11,0.07,0.38,Class 2: Sand to silty sand
6.9,7.15,10,12.39,0.07,19,131.1,67.69,63.41,193.3,144.63,0.07,0.38,Class 2: Sand to silty sand
6.9,3.04,142.8,3.09,4.62,19,131.1,67.69,63.41,46.7,44.27,4.82,0.89,Class 4: Clayey silt to silty clay
6.91,2.68,145.6,2.74,5.28,19,131.29,67.79,63.5,41.1,39.51,5.54,0.92,Class 4: Clayey silt to silty clay
6.92,7.1,9,12.42,0.09,19,131.48,67.89,63.59,193.23,145.03,0.09,0.38,Class 2: Sand to silty sand
6.92,2.5,145.4,2.55,5.7,19,131.48,67.89,63.59,38.03,36.87,6.01,0.93,Class 4: Clayey silt to silty clay
6.93,2.47,145.1,2.48,5.74,19,131.67,67.98,63.69,36.85,35.8,6.07,0.94,Class 4: Clayey silt to silty clay
6.94,7.35,14,12.64,0.1,19,131.86,68.08,63.78,196.04,147.38,0.1,0.38,Class 2: Sand to silty sand
6.94,2.47,136.6,2.47,5.66,19,131.86,68.08,63.78,36.65,35.59,5.97,0.94,Class 4: Clayey silt to silty clay
6.95,2.47,137.3,2.49,5.51,19,132.05,68.18,63.87,36.93,35.81,5.82,0.93,Class 4: Clayey silt to silty clay
6.96,7.75,14,13.1,0.12,19,132.24,68.28,63.96,202.74,152.75,0.12,0.38,Class 2: Sand to silty sand
6.96,2.53,138,2.5,5.5,19,132.24,68.28,63.96,37,35.87,5.81,0.93,Class 4: Clayey silt to silty clay
6.97,2.49,137.2,2.54,5.41,19,132.43,68.38,64.05,37.53,36.33,5.71,0.93,Class 4: Clayey silt to silty clay
6.98,8.45,19,13.75,0.13,19,132.62,68.47,64.15,212.26,160,0.13,0.38,Class 2: Sand to silty sand
6.98,2.58,136.4,2.6,5.19,19,132.62,68.47,64.15,38.43,37.07,5.47,0.92,Class 4: Clayey silt to silty clay
6.99,2.72,131.1,2.78,4.78,19,132.81,68.57,64.24,41.17,39.41,5.02,0.9,Class 4: Clayey silt to silty clay
7,9.25,22,14.48,0.15,19,133,68.67,64.33,223.02,168.11,0.15,0.38,Class 1: Gravelly sand to dense sand
7,3.03,130.5,3.02,4.31,19,133,68.67,64.33,44.95,42.62,4.51,0.88,Class 4: Clayey silt to silty clay
7.02,9.9,22,15.15,0.14,19,133.38,68.87,64.51,232.69,175.04,0.14,0.37,Class 1: Gravelly sand to dense sand
7.04,10.4,19,15.59,0.13,19,133.76,69.06,64.7,238.95,179.47,0.13,0.36,Class 1: Gravelly sand to dense sand
7.06,10.55,19,15.74,0.12,19,134.14,69.26,64.88,240.55,180.77,0.12,0.36,Class 1: Gravelly sand to dense sand
7.08,10.3,20,15.52,0.11,19,134.52,69.45,65.07,236.51,178.02,0.11,0.36,Class 1: Gravelly sand to dense sand
7.1,9.7,14,15.04,0.1,19,134.9,69.65,65.25,228.41,172.35,0.1,0.36,Class 1: Gravelly sand to dense sand
7.12,9.05,12,14.55,0.07,19,135.28,69.85,65.43,220.35,166.48,0.07,0.36,Class 1: Gravelly sand to dense sand
7.14,8.8,6,14.1,0.06,19,135.66,70.04,65.62,212.84,161.38,0.06,0.36,Class 1: Gravelly sand to dense sand
7.16,8.3,8,13.7,0.05,19,136.04,70.24,65.8,206.14,156.97,0.05,0.37,Class 1: Gravelly sand to dense sand
7.18,7.8,6,13.32,0.06,19,136.42,70.44,65.98,199.72,152.6,0.06,0.37,Class 1: Gravelly sand to dense sand
7.2,7.6,11,13,0.07,19,136.8,70.63,66.17,194.35,149.02,0.07,0.38,Class 1: Gravelly sand to dense sand
7.22,7.3,9,12.86,0.09,19,137.18,70.83,66.35,191.77,147.61,0.09,0.38,Class 2: Sand to silty sand
7.24,7.35,13,12.78,0.09,19,137.56,71.02,66.54,189.96,146.62,0.09,0.38,Class 2: Sand to silty sand
7.26,7.3,13,12.84,0.11,19,137.94,71.22,66.72,190.41,147.56,0.12,0.39,Class 2: Sand to silty sand
7.28,7.45,18,12.94,0.12,19,138.32,71.42,66.9,191.35,148.56,0.12,0.39,Class 2: Sand to silty sand
7.3,7.6,15,13.07,0.12,19,138.7,71.61,67.09,192.78,149.96,0.13,0.39,Class 2: Sand to silty sand
7.32,7.65,16,12.89,0.13,19,139.08,71.81,67.27,189.5,147.98,0.14,0.4,Class 2: Sand to silty sand
7.34,6.85,21,12.54,0.17,19,139.46,72.01,67.45,183.76,144.58,0.17,0.41,Class 2: Sand to silty sand
7.36,6.5,26,12,0.21,19,139.84,72.2,67.64,175.35,139.32,0.22,0.43,Class 2: Sand to silty sand
7.38,6,30,11.62,0.25,19,140.22,72.4,67.82,169.19,135.48,0.26,0.45,Class 2: Sand to silty sand
7.4,5.65,32,11.36,0.27,19,140.6,72.59,68.01,165.03,132.76,0.27,0.45,Class 2: Sand to silty sand
7.42,5.7,30,11.41,0.27,19,140.98,72.79,68.19,165.28,133.09,0.27,0.45,Class 2: Sand to silty sand
7.44,6.1,29,11.74,0.23,19,141.36,72.99,68.37,169.68,136.08,0.23,0.44,Class 2: Sand to silty sand
7.46,6.6,21,12.24,0.19,19,141.74,73.18,68.56,176.49,140.77,0.19,0.42,Class 2: Sand to silty sand
7.48,7.15,18,12.71,0.14,19,142.12,73.38,68.74,182.78,144.97,0.14,0.4,Class 2: Sand to silty sand
7.5,7.45,15,13.06,0.13,19,142.5,73.58,68.93,187.34,148.31,0.13,0.39,Class 2: Sand to silty sand
7.52,7.6,16,13.2,0.12,19,142.88,73.77,69.11,188.98,149.66,0.12,0.39,Class 2: Sand to silty sand
7.54,7.55,16,13.25,0.12,19,143.26,73.97,69.29,189.17,150.07,0.12,0.39,Class 2: Sand to silty sand
7.56,7.55,16,13.27,0.12,19,143.64,74.16,69.48,188.88,150,0.12,0.39,Class 2: Sand to silty sand
7.58,7.6,14,13.32,0.11,19,144.02,74.36,69.66,189.07,150.25,0.11,0.39,Class 2: Sand to silty sand
7.6,7.65,13,13.4,0.09,19,144.4,74.56,69.84,189.74,150.78,0.1,0.38,Class 2: Sand to silty sand
7.62,7.75,11,13.48,0.09,19,144.78,74.75,70.03,190.4,151.41,0.09,0.38,Class 1: Gravelly sand to dense sand
7.64,7.8,11,13.41,0.1,19,145.16,74.95,70.21,188.93,150.71,0.1,0.38,Class 2: Sand to silty sand
7.66,7.4,18,13.18,0.13,19,145.54,75.14,70.4,185.09,148.47,0.13,0.39,Class 2: Sand to silty sand
7.68,7,21,12.81,0.16,19,145.92,75.34,70.58,179.38,144.96,0.17,0.41,Class 2: Sand to silty sand
7.7,6.65,24,12.52,0.19,19,146.3,75.54,70.76,174.88,142.07,0.19,0.42,Class 2: Sand to silty sand
7.72,6.5,25,12.34,0.2,19,146.68,75.73,70.95,171.82,140.07,0.2,0.43,Class 2: Sand to silty sand
7.74,6.4,24,12.29,0.19,19,147.06,75.93,71.13,170.64,139.22,0.19,0.42,Class 2: Sand to silty sand
7.76,6.45,20,12.28,0.17,19,147.44,76.13,71.31,170.17,138.74,0.17,0.42,Class 2: Sand to silty sand
7.78,6.45,17,12.3,0.14,19,147.82,76.32,71.5,169.94,138.44,0.15,0.41,Class 2: Sand to silty sand
7.8,6.4,16,12.33,0.14,19,148.2,76.52,71.68,169.94,138.6,0.14,0.41,Class 2: Sand to silty sand
7.82,6.5,19,12.36,0.13,19,148.58,76.71,71.87,169.94,138.64,0.13,0.41,Class 2: Sand to silty sand
7.84,6.5,13,12.34,0.12,19,148.96,76.91,72.05,169.25,138.24,0.13,0.41,Class 2: Sand to silty sand
7.86,6.3,14,12.23,0.11,19,149.34,77.11,72.23,167.18,136.66,0.11,0.4,Class 2: Sand to silty sand
7.88,6.1,14,12.12,0.12,19,149.72,77.3,72.42,165.34,135.49,0.12,0.41,Class 2: Sand to silty sand
7.9,6.15,14,12.16,0.11,19,150.1,77.5,72.6,165.35,135.59,0.11,0.4,Class 2: Sand to silty sand
7.92,6.35,11,12.3,0.09,19,150.48,77.7,72.78,166.97,136.9,0.1,0.4,Class 2: Sand to silty sand
7.94,6.5,10,12.5,0.08,19,150.86,77.89,72.97,169.26,138.76,0.08,0.39,Class 2: Sand to silty sand
7.96,6.7,10,12.67,0.08,19,151.24,78.09,73.15,171.09,140.37,0.08,0.39,Class 2: Sand to silty sand
7.98,6.8,11,12.73,0.08,19,151.62,78.28,73.34,171.54,140.91,0.08,0.39,Class 2: Sand to silty sand
8,6.65,9,12.65,0.08,19,152,78.48,73.52,169.95,139.86,0.08,0.39,Class 2: Sand to silty sand
8.02,6.4,9,12.45,0.07,19,152.38,78.68,73.7,166.78,137.55,0.07,0.39,Class 2: Sand to silty sand
8.04,6.15,9,12.13,0.07,19,152.76,78.87,73.89,162.06,134.02,0.07,0.4,Class 2: Sand to silty sand
8.06,5.65,7,11.94,0.07,19,153.14,79.07,74.07,159.15,131.92,0.07,0.4,Class 2: Sand to silty sand
8.08,5.8,8,11.91,0.06,19,153.52,79.26,74.26,158.28,131.42,0.07,0.4,Class 2: Sand to silty sand
8.1,6,8,12.09,0.07,19,153.9,79.46,74.44,160.33,133.23,0.07,0.4,Class 2: Sand to silty sand
8.12,6.15,8,12.32,0.06,19,154.28,79.66,74.62,163.03,135.56,0.07,0.4,Class 2: Sand to silty sand
8.14,6.45,8,12.57,0.06,19,154.66,79.85,74.81,165.94,138.06,0.06,0.39,Class 2: Sand to silty sand
8.16,6.7,8,12.75,0.06,19,155.04,80.05,74.99,167.95,139.85,0.06,0.39,Class 2: Sand to silty sand
8.18,6.65,7,12.83,0.05,19,155.42,80.25,75.17,168.62,140.59,0.06,0.39,Class 2: Sand to silty sand
8.2,6.65,6,12.85,0.05,19,155.8,80.44,75.36,168.41,140.63,0.05,0.39,Class 2: Sand to silty sand
8.22,6.7,7,12.9,0.05,19,156.18,80.64,75.54,168.63,141.02,0.05,0.39,Class 2: Sand to silty sand
8.24,6.75,7,12.91,0.05,19,156.56,80.83,75.73,168.42,141.05,0.05,0.39,Class 2: Sand to silty sand
8.26,6.65,6,12.81,0.05,19,156.94,81.03,75.91,166.66,139.84,0.05,0.39,Class 2: Sand to silty sand
8.28,6.35,7,12.57,0.06,19,157.32,81.23,76.09,163.17,137.22,0.06,0.4,Class 2: Sand to silty sand
8.3,6,11,12.27,0.09,19,157.7,81.42,76.28,158.82,134.05,0.09,0.4,Class 2: Sand to silty sand
8.32,5.7,14,11.97,0.12,19,158.08,81.62,76.46,154.48,131.05,0.12,0.42,Class 2: Sand to silty sand
8.34,5.4,18,11.74,0.13,19,158.46,81.82,76.64,151.04,128.52,0.13,0.42,Class 2: Sand to silty sand
8.36,5.25,13,11.43,0.13,19,158.84,82.01,76.83,146.75,125.17,0.13,0.43,Class 2: Sand to silty sand
8.38,4.75,12,11.18,0.1,19,159.22,82.21,77.01,143.13,122.17,0.11,0.42,Class 2: Sand to silty sand
8.4,4.6,10,10.85,0.08,19,159.6,82.4,77.2,138.44,118.34,0.08,0.42,Class 2: Sand to silty sand
8.42,4.2,5,10.58,0.07,19,159.98,82.6,77.38,134.64,115.3,0.07,0.42,Class 2: Sand to silty sand
8.44,3.9,6,10.29,0.06,19,160.36,82.8,77.56,130.64,112.17,0.06,0.43,Class 2: Sand to silty sand
8.46,3.7,6,10.14,0.05,19,160.74,82.99,77.75,128.38,110.47,0.05,0.43,Class 2: Sand to silty sand
8.48,3.7,3,10.16,0.04,19,161.12,83.19,77.93,128.26,110.61,0.04,0.44,Class 2: Sand to silty sand
8.5,3.9,3,10.29,0.03,19,161.5,83.39,78.12,129.64,112.13,0.03,0.44,Class 2: Sand to silty sand
8.52,4.05,3,10.54,0.03,19,161.88,83.58,78.3,132.5,114.68,0.03,0.44,Class 2: Sand to silty sand
8.54,4.4,3,10.82,0.02,19,162.26,83.78,78.48,135.78,117.72,0.03,0.44,Class 2: Sand to silty sand
8.56,4.7,2,11.15,0.02,19,162.64,83.97,78.67,139.67,121.34,0.02,0.44,Class 2: Sand to silty sand
8.58,5,2,11.43,0.02,19,163.02,84.17,78.85,142.91,124.05,0.02,0.44,Class 2: Sand to silty sand
8.6,5.2,4,11.7,0.03,19,163.4,84.37,79.03,145.93,126.37,0.03,0.42,Class 2: Sand to silty sand
8.62,5.45,5,11.98,0.06,19,163.78,84.56,79.22,149.14,128.89,0.06,0.41,Class 2: Sand to silty sand
8.64,5.8,11,12.28,0.06,19,164.16,84.76,79.4,152.55,131.9,0.06,0.4,Class 2: Sand to silty sand
8.66,6.05,6,12.69,0.06,19,164.54,84.95,79.59,157.4,136.12,0.06,0.4,Class 2: Sand to silty sand
8.68,6.65,7,13.14,0.06,19,164.92,85.15,79.77,162.66,140.68,0.06,0.39,Class 2: Sand to silty sand
8.7,7.1,12,13.59,0.08,19,165.3,85.35,79.95,167.89,145.27,0.08,0.39,Class 2: Sand to silty sand
8.72,7.35,12,13.92,0.08,19,165.68,85.54,80.14,171.64,148.65,0.08,0.39,Class 2: Sand to silty sand
8.74,7.6,11,13.97,0.08,19,166.06,85.74,80.32,171.84,148.99,0.08,0.39,Class 1: Gravelly sand to dense sand
8.76,7.2,10,13.83,0.07,19,166.44,85.94,80.5,169.77,147.42,0.07,0.39,Class 1: Gravelly sand to dense sand
8.78,6.9,9,13.42,0.07,19,166.82,86.13,80.69,164.19,142.93,0.07,0.39,Class 2: Sand to silty sand
8.78,1.6,22.7,1.6,1.44,19,166.82,86.13,80.69,17.71,17.31,1.61,0.9,Class 4: Clayey silt to silty clay
8.79,1.5,24.7,1.51,1.62,19,167.01,86.23,80.78,16.59,16.29,1.83,0.92,Class 4: Clayey silt to silty clay
8.8,6.3,8,12.96,0.06,19,167.2,86.33,80.87,158.23,138.1,0.06,0.4,Class 2: Sand to silty sand
8.8,1.42,26,1.43,1.8,19,167.2,86.33,80.87,15.66,15.43,2.04,0.94,Class 4: Clayey silt to silty clay
8.81,1.38,26.6,1.38,1.93,19,167.39,86.43,80.96,14.94,14.77,2.2,0.95,Class 4: Clayey silt to silty clay
8.82,5.8,7,12.41,0.06,19,167.58,86.52,81.06,151.06,132.24,0.06,0.4,Class 2: Sand to silty sand
8.82,1.33,27.1,1.34,2.01,19,167.58,86.52,81.06,14.5,14.36,2.29,0.96,Class 4: Clayey silt to silty clay
8.83,1.32,27.1,1.31,2.12,19,167.77,86.62,81.15,14.08,13.97,2.43,0.97,Class 4: Clayey silt to silty clay
8.84,5.2,6,11.88,0.05,19,167.96,86.72,81.24,144.13,126.55,0.05,0.41,Class 2: Sand to silty sand
8.84,1.28,29.2,1.28,2.28,19,167.96,86.72,81.24,13.66,13.6,2.63,0.98,Class 4: Clayey silt to silty clay
8.85,1.23,31.3,1.22,2.52,19,168.15,86.82,81.33,12.98,12.97,2.92,0.99,Class 4: Clayey silt to silty clay
8.86,4.65,6,11.43,0.06,19,168.34,86.92,81.42,138.25,121.72,0.06,0.42,Class 2: Sand to silty sand
8.86,1.16,31.9,1.16,2.73,19,168.34,86.92,81.42,12.2,12.2,3.19,1,Class 4: Clayey silt to silty clay
8.88,4.4,7,11.06,0.09,19,168.72,87.11,81.61,133.42,117.86,0.09,0.43,Class 2: Sand to silty sand
8.9,4.05,16,10.77,0.13,19,169.1,87.31,81.79,129.63,115.02,0.13,0.44,Class 2: Sand to silty sand
8.92,3.75,18,10.44,0.18,19,169.48,87.51,81.97,125.25,111.73,0.18,0.46,Class 2: Sand to silty sand
8.92,1.09,26.3,1.17,2.29,19,169.48,87.51,81.97,12.18,12.17,2.68,0.99,Class 4: Clayey silt to silty clay
8.93,1.32,26.3,1.34,1.93,19,169.67,87.6,82.07,14.26,14.13,2.21,0.96,Class 4: Clayey silt to silty clay
8.94,3.35,21,10.15,0.2,19,169.86,87.7,82.16,121.49,108.8,0.21,0.47,Class 2: Sand to silty sand
8.94,1.61,24.9,1.61,1.59,19,169.86,87.7,82.16,17.5,17.18,1.78,0.91,Class 4: Clayey silt to silty clay
8.96,3.15,23,9.97,0.23,19,170.24,87.9,82.34,118.97,106.91,0.24,0.48,Class 2: Sand to silty sand
8.98,3.15,26,9.97,0.27,19,170.62,88.09,82.53,118.68,106.97,0.27,0.49,Class 2: Sand to silty sand
9,3.3,31,9.9,0.29,19,171,88.29,82.71,117.59,106.26,0.3,0.5,Class 2: Sand to silty sand
9.02,2.9,30,9.93,0.3,19,171.38,88.49,82.89,117.7,106.53,0.31,0.5,Class 2: Sand to silty sand
9.04,3.2,29,9.79,0.3,19,171.76,88.68,83.08,115.81,104.97,0.3,0.5,Class 2: Sand to silty sand
9.06,2.85,29,9.74,0.29,19,172.14,88.88,83.26,114.93,104.28,0.3,0.5,Class 2: Sand to silty sand
9.08,2.7,28,9.61,0.29,19,172.52,89.07,83.45,113.06,102.74,0.3,0.51,Class 2: Sand to silty sand
9.1,2.75,28,9.62,0.3,19,172.9,89.27,83.63,112.98,102.8,0.3,0.51,Class 2: Sand to silty sand
9.12,2.85,30,9.7,0.31,19,173.28,89.47,83.81,113.71,103.58,0.31,0.51,Class 2: Sand to silty sand
9.14,2.9,31,9.82,0.31,19,173.66,89.66,84,114.82,104.71,0.32,0.51,Class 2: Sand to silty sand
9.16,3.05,31,9.92,0.31,19,174.04,89.86,84.18,115.74,105.62,0.31,0.51,Class 2: Sand to silty sand
9.18,3.1,30,9.98,0.31,19,174.42,90.06,84.36,116.25,106.18,0.31,0.51,Class 2: Sand to silty sand
9.2,3.05,31,9.98,0.3,19,174.8,90.25,84.55,115.97,106.02,0.31,0.5,Class 2: Sand to silty sand
9.22,3,29,9.96,0.3,19,175.18,90.45,84.73,115.5,105.7,0.3,0.5,Class 2: Sand to silty sand
9.24,3,29,9.98,0.29,19,175.56,90.64,84.92,115.42,105.72,0.3,0.5,Class 2: Sand to silty sand
9.26,3.05,30,10.03,0.3,19,175.94,90.84,85.1,115.74,106.15,0.31,0.5,Class 2: Sand to silty sand
9.28,3.1,32,10.09,0.31,19,176.32,91.04,85.28,116.24,106.76,0.32,0.51,Class 2: Sand to silty sand
10.54,7.69,-93.9,7.7,-1.22,19,200.26,92.61,107.65,69.66,69.66,-1.25,1,Class 1: Gravelly sand to dense sand
10.55,7.71,-22.4,7.72,-0.29,19,200.45,92.7,107.75,69.78,69.78,-0.3,1,Class 1: Gravelly sand to dense sand
12.5,2.09,22.1,2.09,1.06,19,237.5,122.63,114.88,16.15,16.36,1.19,0.9,Class 4: Clayey silt to silty clay
12.51,2.05,22.3,2.05,1.09,19,237.69,122.72,114.97,15.77,15.97,1.23,0.9,Class 4: Clayey silt to silty clay
12.52,2,22.6,2.01,1.12,19,237.88,122.82,115.06,15.37,15.54,1.27,0.91,Class 4: Clayey silt to silty clay
12.53,1.96,22.6,1.96,1.15,19,238.07,122.92,115.15,14.97,15.13,1.31,0.92,Class 4: Clayey silt to silty clay
12.54,1.92,22.6,1.93,1.17,19,238.26,123.02,115.24,14.71,14.86,1.33,0.92,Class 4: Clayey silt to silty clay
12.55,1.92,22.6,1.92,1.17,19,238.45,123.12,115.33,14.59,14.73,1.34,0.92,Class 4: Clayey silt to silty clay
12.56,3.55,86.4,3.56,2.43,19,238.64,112.42,126.22,26.32,26.85,2.6,0.91,Class 4: Clayey silt to silty clay
12.56,1.92,22.5,1.92,1.17,19,238.64,123.21,115.43,14.57,14.72,1.34,0.92,Class 4: Clayey silt to silty clay
12.57,3.39,83,3.41,2.44,19,238.83,112.52,126.31,25.08,25.55,2.62,0.92,Class 4: Clayey silt to silty clay
12.57,1.92,22.5,1.93,1.17,19,238.83,123.31,115.52,14.6,14.75,1.33,0.92,Class 4: Clayey silt to silty clay
12.58,3.23,82.4,3.24,2.54,19,239.02,112.62,126.4,23.74,24.12,2.75,0.93,Class 4: Clayey silt to silty clay
12.58,1.93,22.3,1.93,1.16,19,239.02,123.41,115.61,14.62,14.77,1.33,0.92,Class 4: Clayey silt to silty clay
12.59,3.07,82.5,3.08,2.68,19,239.21,112.72,126.49,22.47,22.76,2.9,0.94,Class 4: Clayey silt to silty clay
12.59,1.93,22.4,1.94,1.16,19,239.21,123.51,115.7,14.66,14.81,1.32,0.92,Class 4: Clayey silt to silty clay
12.6,2.91,82.6,2.93,2.82,19,239.4,112.82,126.59,21.23,21.44,3.07,0.96,Class 4: Clayey silt to silty clay
12.6,1.94,22.4,1.94,1.16,19,239.4,123.61,115.79,14.67,14.82,1.32,0.92,Class 4: Clayey silt to silty clay
12.61,2.9,81.9,2.91,2.81,19,239.59,112.91,126.68,21.11,21.32,3.06,0.96,Class 4: Clayey silt to silty clay
12.61,1.94,22.7,1.93,1.18,19,239.59,123.7,115.89,14.62,14.77,1.34,0.92,Class 4: Clayey silt to silty clay
12.62,2.9,81.3,2.92,2.79,19,239.78,113.01,126.77,21.1,21.32,3.04,0.95,Class 4: Clayey silt to silty clay
12.62,1.92,23.1,1.92,1.19,19,239.78,123.8,115.98,14.45,14.6,1.36,0.93,Class 4: Clayey silt to silty clay
12.63,2.9,79.3,2.93,2.71,19,239.97,113.11,126.86,21.17,21.4,2.95,0.95,Class 4: Clayey silt to silty clay
12.63,1.89,22.8,1.89,1.21,19,239.97,123.9,116.07,14.23,14.36,1.39,0.93,Class 4: Clayey silt to silty clay
12.64,3.17,77.6,3.2,2.43,19,240.16,113.21,126.95,23.28,23.67,2.63,0.93,Class 4: Clayey silt to silty clay
12.64,1.86,22.9,1.86,1.23,19,240.16,124,116.16,13.96,14.08,1.41,0.93,Class 4: Clayey silt to silty clay
12.65,3.29,75.9,3.32,2.29,19,240.35,113.31,127.04,24.2,24.67,2.47,0.91,Class 4: Clayey silt to silty clay
12.65,1.83,22.9,1.84,1.24,19,240.35,124.1,116.25,13.79,13.91,1.43,0.94,Class 4: Clayey silt to silty clay
12.66,1.83,22.9,1.83,1.25,19,240.54,124.19,116.35,13.69,13.81,1.44,0.94,Class 4: Clayey silt to silty clay
12.67,1.84,22.9,1.84,1.26,19,240.73,124.29,116.44,13.71,13.83,1.45,0.94,Class 4: Clayey silt to silty clay
12.68,1.84,23.6,1.85,1.26,19,240.92,124.39,116.53,13.83,13.95,1.45,0.94,Class 4: Clayey silt to silty clay
12.8,3,64.2,3.01,2.13,19,243.2,114.78,128.42,21.57,21.96,2.32,0.92,Class 4: Clayey silt to silty clay
12.81,2.71,69.8,2.73,2.56,19,243.39,114.88,128.51,19.35,19.54,2.81,0.96,Class 4: Clayey silt to silty clay
12.82,2.48,70.4,2.49,2.82,19,243.58,114.97,128.61,17.5,17.56,3.13,0.98,Class 4: Clayey silt to silty clay
12.83,2.24,69.7,2.26,3.08,19,243.77,115.07,128.7,15.68,15.68,3.45,1,Class 4: Clayey silt to silty clay
12.84,2,69,2.02,3.42,19,243.96,115.17,128.79,13.77,13.77,3.89,1,Class 5: Clay
12.85,1.62,67.6,1.64,4.13,19,244.15,115.27,128.88,10.82,10.82,4.85,1,Class 5: Clay
12.86,1.5,65.6,1.52,4.33,19,244.34,115.37,128.97,9.85,9.85,5.16,1,Class 5: Clay
12.87,1.41,65,1.43,4.54,19,244.53,115.46,129.07,9.19,9.19,5.48,1,Class 5: Clay
12.88,1.36,65.2,1.38,4.71,19,244.72,115.56,129.16,8.83,8.83,5.72,1,Class 5: Clay
12.89,1.33,64.2,1.35,4.75,19,244.91,115.66,129.25,8.56,8.56,5.8,1,Class 5: Clay
12.9,1.31,63.3,1.33,4.75,19,245.1,115.76,129.34,8.41,8.41,5.82,1,Class 5: Clay
12.91,1.29,62.4,1.32,4.74,19,245.29,115.86,129.43,8.27,8.27,5.83,1,Class 5: Clay
12.92,1.27,53.5,1.3,4.12,19,245.48,115.95,129.53,8.12,8.12,5.09,1,Class 5: Clay
12.93,1.26,49.3,1.29,3.82,19,245.67,116.05,129.62,8.06,8.06,4.72,1,Class 5: Clay
12.94,1.24,45.1,1.26,3.57,19,245.86,116.15,129.71,7.85,7.85,4.43,1,Class 5: Clay
12.95,1.23,39.6,1.26,3.14,19,246.05,116.25,129.8,7.83,7.83,3.89,1,Class 5: Clay
12.96,1.22,34.6,1.26,2.75,19,246.24,116.35,129.89,7.78,7.78,3.43,1,Class 5: Clay
12.97,1.21,28.6,1.25,2.3,19,246.43,116.44,129.99,7.69,7.69,2.86,1,Class 5: Clay
12.98,1.18,25.9,1.22,2.13,19,246.62,116.54,130.08,7.46,7.46,2.67,1,Class 5: Clay
12.99,1.17,24.1,1.21,1.99,19,246.81,116.64,130.17,7.41,7.41,2.5,1,Class 5: Clay
13,1.17,24.7,1.21,2.04,19,247,116.74,130.26,7.38,7.38,2.57,1,Class 5: Clay
13.01,1.18,24.7,1.22,2.02,19,247.19,116.84,130.35,7.47,7.47,2.54,1,Class 5: Clay
13.02,1.19,24.7,1.23,2,19,247.38,116.94,130.44,7.57,7.57,2.5,1,Class 5: Clay
13.03,1.21,25,1.26,1.99,19,247.57,117.03,130.54,7.72,7.72,2.48,1,Class 5: Clay
13.04,1.22,24.8,1.27,1.95,19,247.76,117.13,130.63,7.83,7.83,2.43,1,Class 5: Clay
13.05,1.22,24.6,1.27,1.94,19,247.95,117.23,130.72,7.8,7.8,2.41,1,Class 5: Clay
13.06,1.22,24.1,1.27,1.89,19,248.14,117.33,130.81,7.83,7.83,2.35,1,Class 5: Clay
13.07,1.21,24.2,1.25,1.93,19,248.33,117.43,130.9,7.69,7.69,2.4,1,Class 5: Clay
13.08,1.2,24.3,1.26,1.94,19,248.52,117.52,131,7.68,7.68,2.41,1,Class 5: Clay
13.09,1.21,25.1,1.26,1.99,19,248.71,117.62,131.09,7.74,7.74,2.47,1,Class 5: Clay
13.1,1.22,26.4,1.27,2.08,19,248.9,117.72,131.18,7.79,7.79,2.58,1,Class 5: Clay
13.11,1.24,26.6,1.3,2.05,19,249.09,117.82,131.27,8.01,8.01,2.53,1,Class 5: Clay
13.12,1.31,27.3,1.36,2,19,249.28,117.92,131.36,8.48,8.48,2.45,1,Class 5: Clay
13.13,1.33,27.9,1.39,2.01,19,249.47,118.01,131.46,8.67,8.67,2.45,1,Class 5: Clay
13.14,1.33,28.8,1.39,2.07,19,249.66,118.11,131.55,8.7,8.7,2.52,1,Class 5: Clay
13.15,1.33,29.2,1.39,2.11,19,249.85,118.21,131.64,8.64,8.64,2.57,1,Class 5: Clay
13.16,3.91,145.9,3.91,3.73,19,250.04,129.1,120.94,30.28,30.62,3.98,0.94,Class 4: Clayey silt to silty clay
13.16,1.35,31.2,1.41,2.21,19,250.04,118.31,131.73,8.83,8.83,2.68,1,Class 5: Clay
13.17,3.59,147.4,3.59,4.11,19,250.23,129.2,121.03,27.59,27.79,4.41,0.96,Class 4: Clayey silt to silty clay
13.17,1.38,31.9,1.44,2.22,19,250.23,118.41,131.82,9.02,9.02,2.68,1,Class 5: Clay
13.18,3.48,142.8,3.48,4.1,19,250.42,129.3,121.12,26.68,26.85,4.42,0.96,Class 4: Clayey silt to silty clay
13.18,1.41,34.7,1.48,2.35,19,250.42,118.5,131.92,9.32,9.32,2.82,1,Class 5: Clay
13.19,3.44,138.1,3.44,4.02,19,250.61,129.39,121.22,26.29,26.47,4.33,0.96,Class 4: Clayey silt to silty clay
13.19,1.49,33.6,1.56,2.16,19,250.61,118.6,132.01,9.91,9.91,2.57,1,Class 5: Clay
13.2,1.64,33.6,1.7,1.97,19,250.8,118.7,132.1,10.99,10.99,2.31,1,Class 4: Clayey silt to silty clay
13.2,3.44,132,3.44,3.84,19,250.8,129.49,121.31,26.26,26.46,4.14,0.96,Class 4: Clayey silt to silty clay
